Ticker,YF Ticker,Sector,Price (Rs),Mkt Cap (LCr),Mkt Cap Raw,P/E,Fwd P/E,PEG,PEG Method,Earn Traj,52W Pos%,ROIC%,ROE%,Int Coverage,Op Margin%,Debt/Eq,Quality Score,Momentum Score,Ret 1Mo%,Ret 3Mo%,Ret 6Mo%,Trailing Vol%,Eligible,Data Sources,Rev Q1 (1000Cr),Rev Q2 (1000Cr),Rev Q3 (1000Cr),Rev Q4 (1000Cr),Rev Growth% (CAGR),MC% of Index,Score,Rank,Conviction Score
360ONE,360ONE.NS,Financials,1091.0,0.444652879872,444652879872.0,36.23381,26.636711,1.9661737191752564,Yahoo EPS growth,0.06773743016759781,56.019990913221264,0.47429934927683715,,1.6737272080364487,61.07,161.977,8.368636040182244,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.089832,0.081068,0.080713,0.066278,10.667616906441445,0.11894583687000315,49.524336633585435,25,64.72510298950095
3MINDIA,3MINDIA.NS,Financials,32710.0,0.368480452608,368480452608.0,63.693897,42.08698,1.3500873206019925,Yahoo EPS growth,0.1558676218855006,42.795698924731184,2.5470474130897753,,23.96984458362329,15.554000000000002,9.6,50.0,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.142321,0.139924,0.1228053,0.119597,5.969991683700049,0.09856950846312519,57.93349210115188,12,75.71532498318338
ABB,ABB.NS,Industrials,7274.0,1.541421531136,1541421531136.0,97.09023,69.35508,,—,0.014759036144578266,80.20991785822939,3.368259761617727,19.131,100.0,11.459,1.547,57.19399485146142,,,,,,True,PE:Yahoo | FwdPE:Yahoo | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.352103,0.316241,0.349579,0.290956,6.564888766304899,0.4123343900149527,45.95815499227682,33,27.821099917873514
ACC,ACC.NS,Materials,1246.5,0.234076831744,234076831744.0,12.300179,12.692744,2.33,Yahoo,-0.30415207603801897,2.1020624008461253,0.821095202196068,,29.67550200803213,3.375,2.085,41.964512358205155,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.579,0.712447,0.639117,0.6277,-2.6560843549219615,0.06261617973031879,40.376076121014385,9,52.76891853352598
ACMESOLAR,ACMESOLAR.NS,Utilities,402.3,0.284141060096,284141060096.0,41.474228,16.160494,0.22520430348387102,Yahoo EPS growth,0.3587962962962962,87.97953964194375,1.3710213687223225,,1.9296967499206745,67.57600000000001,393.194,48.14581537909987,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.0857478,0.0547768,0.0496622,0.0510984,18.833410518814865,0.07600849496797966,29.717858319446982,11,36.85789008432796
AIAENG,AIAENG.NS,Industrials,4096.6,,,30.210915,26.808456,3.137855893228343,Yahoo EPS growth,0.04271779347460482,49.51537744641195,4.809784876130438,,40.54326269886488,23.876,0.128,70.30969423412141,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.1153244,0.12510587,0.10487361,0.10296748,3.8501288958799895,,58.760790292832105,10,47.42835646223013
APLAPOLLO,APLAPOLLO.NS,Industrials,2153.5,0.5979373568,597937356800.0,48.545986,33.84165,3.1112484677419365,Yahoo EPS growth,0.054385964912280683,77.17944761610862,1.8748561622438649,,17.430510018214935,6.276,9.396,48.81383398647713,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.543821,0.607598,0.564852,0.500281,2.820723379434198,0.1599498451935974,55.53928981603148,14,44.828145127503014
AUBANK,AUBANK.NS,Financials,1058.9,0.793556484096,793556484096.0,28.087534,17.505682,0.4824887618374556,Yahoo EPS growth,0.1814102564102565,80.8882907133244,,,,35.311002,,0.0,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ET:Yahoo,0.33847133,0.33132799,0.30650663,0.28552772,5.833835807899135,0.21227848593174006,28.667001553096483,71,37.46591583149131
AWL,AWL.NS,Consumer Staples,185.02,0.239012102144,239012102144.0,20.695751,17.416597,0.3621860512500001,Yahoo EPS growth,0.24043715846994532,12.380270342852041,1.0301614844613445,,4.1655466728459425,2.875,10.621,23.154586050061198,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,2.004814,2.146478,1.860267,1.705865,5.530130675278921,0.06393637778700682,18.125603942573733,26,15.749518948222837
AADHARHFC,AADHARHFC.NS,Financials,456.8,0.20017283072,200172830720.0,17.732918,12.35087,2.4542373935483903,Yahoo EPS growth,0.02516233766233763,20.060218291306008,0.04704758831063194,,1.9693825215006207,61.72299999999999,255.574,9.846912607503103,,,,,,True,PE:Yahoo | FwdPE:Yahoo | PEG:Yahoo(Yahoo EPS growth) | ROIC:Computed | IC:Yahoo | ET:Yahoo,0.093704,0.091056,0.088426,0.084895,3.345603535614128,0.05354676860629321,42.14113403731781,35,55.07573500358644
